,Node_1,Node_2,Edge
371,Parabacteroides,Bifidobacterium,False
372,Parabacteroides,Collinsella,True
373,Parabacteroides,Bacteroides,False
374,Parabacteroides,Bacteroidales_noname,False
375,Parabacteroides,Barnesiella,False
376,Parabacteroides,Dysgonomonas,False
377,Parabacteroides,Odoribacter,True
378,Parabacteroides,Parabacteroides,False
379,Parabacteroides,Paraprevotella,False
380,Parabacteroides,Prevotella,False
381,Parabacteroides,Alistipes,False
382,Parabacteroides,Streptococcus,True
383,Parabacteroides,Clostridium,False
384,Parabacteroides,Clostridiales_noname,False
385,Parabacteroides,Flavonifractor,False
386,Parabacteroides,Eubacterium,False
387,Parabacteroides,Anaerostipes,False
388,Parabacteroides,Blautia,False
389,Parabacteroides,Butyrivibrio,False
390,Parabacteroides,Cellulosilyticum,True
391,Parabacteroides,Coprococcus,False
392,Parabacteroides,Dorea,False
393,Parabacteroides,Lachnospiraceae_noname,False
394,Parabacteroides,Roseburia,False
395,Parabacteroides,Oscillibacter,True
396,Parabacteroides,Peptostreptococcaceae_noname,False
397,Parabacteroides,Faecalibacterium,False
398,Parabacteroides,Ruminococcus,False
399,Parabacteroides,Subdoligranulum,False
400,Parabacteroides,Coprobacillus,False
401,Parabacteroides,Erysipelotrichaceae_noname,False
402,Parabacteroides,Acidaminococcus,False
403,Parabacteroides,Phascolarctobacterium,True
404,Parabacteroides,Dialister,False
405,Parabacteroides,Megamonas,False
406,Parabacteroides,Megasphaera,False
407,Parabacteroides,Veillonella,True
408,Parabacteroides,Burkholderiales_noname,False
409,Parabacteroides,Oxalobacter,False
410,Parabacteroides,Parasutterella,False
411,Parabacteroides,Sutterella,False
412,Parabacteroides,Bilophila,True
413,Parabacteroides,Desulfovibrio,False
414,Parabacteroides,Enterobacter,False
415,Parabacteroides,Escherichia,False
416,Parabacteroides,Klebsiella,False
417,Parabacteroides,Proteus,False
418,Parabacteroides,Haemophilus,True
419,Parabacteroides,Akkermansia,False
420,Parabacteroides,Podoviridae_noname,False
421,Parabacteroides,C2likevirus,False
422,Parabacteroides,Siphoviridae_noname,False
423,Parabacteroides,Mastadenovirus,False
424,Paraprevotella,Bifidobacterium,False
425,Paraprevotella,Collinsella,False
426,Paraprevotella,Bacteroides,False
427,Paraprevotella,Bacteroidales_noname,False
428,Paraprevotella,Barnesiella,False
429,Paraprevotella,Dysgonomonas,False
430,Paraprevotella,Odoribacter,False
431,Paraprevotella,Parabacteroides,False
432,Paraprevotella,Paraprevotella,False
433,Paraprevotella,Prevotella,False
434,Paraprevotella,Alistipes,False
435,Paraprevotella,Streptococcus,False
436,Paraprevotella,Clostridium,False
437,Paraprevotella,Clostridiales_noname,False
438,Paraprevotella,Flavonifractor,False
439,Paraprevotella,Eubacterium,False
440,Paraprevotella,Anaerostipes,False
441,Paraprevotella,Blautia,False
442,Paraprevotella,Butyrivibrio,False
443,Paraprevotella,Cellulosilyticum,False
444,Paraprevotella,Coprococcus,False
445,Paraprevotella,Dorea,False
446,Paraprevotella,Lachnospiraceae_noname,False
447,Paraprevotella,Roseburia,False
448,Paraprevotella,Oscillibacter,False
449,Paraprevotella,Peptostreptococcaceae_noname,False
450,Paraprevotella,Faecalibacterium,False
451,Paraprevotella,Ruminococcus,False
452,Paraprevotella,Subdoligranulum,False
453,Paraprevotella,Coprobacillus,False
454,Paraprevotella,Erysipelotrichaceae_noname,False
455,Paraprevotella,Acidaminococcus,False
456,Paraprevotella,Phascolarctobacterium,False
457,Paraprevotella,Dialister,False
458,Paraprevotella,Megamonas,False
459,Paraprevotella,Megasphaera,False
460,Paraprevotella,Veillonella,False
461,Paraprevotella,Burkholderiales_noname,False
462,Paraprevotella,Oxalobacter,False
463,Paraprevotella,Parasutterella,False
464,Paraprevotella,Sutterella,False
465,Paraprevotella,Bilophila,False
466,Paraprevotella,Desulfovibrio,False
467,Paraprevotella,Enterobacter,False
468,Paraprevotella,Escherichia,False
469,Paraprevotella,Klebsiella,False
470,Paraprevotella,Proteus,False
471,Paraprevotella,Haemophilus,False
472,Paraprevotella,Akkermansia,False
473,Paraprevotella,Podoviridae_noname,False
474,Paraprevotella,C2likevirus,False
475,Paraprevotella,Siphoviridae_noname,False
476,Paraprevotella,Mastadenovirus,False
477,Prevotella,Bifidobacterium,False
478,Prevotella,Collinsella,False
479,Prevotella,Bacteroides,False
480,Prevotella,Bacteroidales_noname,False
481,Prevotella,Barnesiella,False
482,Prevotella,Dysgonomonas,False
483,Prevotella,Odoribacter,False
484,Prevotella,Parabacteroides,False
485,Prevotella,Paraprevotella,False
486,Prevotella,Prevotella,False
487,Prevotella,Alistipes,False
488,Prevotella,Streptococcus,False
489,Prevotella,Clostridium,False
490,Prevotella,Clostridiales_noname,False
491,Prevotella,Flavonifractor,False
492,Prevotella,Eubacterium,False
493,Prevotella,Anaerostipes,False
494,Prevotella,Blautia,False
495,Prevotella,Butyrivibrio,True
496,Prevotella,Cellulosilyticum,False
497,Prevotella,Coprococcus,True
498,Prevotella,Dorea,False
499,Prevotella,Lachnospiraceae_noname,False
500,Prevotella,Roseburia,False
501,Prevotella,Oscillibacter,False
502,Prevotella,Peptostreptococcaceae_noname,False
503,Prevotella,Faecalibacterium,False
504,Prevotella,Ruminococcus,False
505,Prevotella,Subdoligranulum,False
506,Prevotella,Coprobacillus,False
507,Prevotella,Erysipelotrichaceae_noname,False
508,Prevotella,Acidaminococcus,False
509,Prevotella,Phascolarctobacterium,False
510,Prevotella,Dialister,False
511,Prevotella,Megamonas,False
512,Prevotella,Megasphaera,False
513,Prevotella,Veillonella,False
514,Prevotella,Burkholderiales_noname,False
515,Prevotella,Oxalobacter,False
516,Prevotella,Parasutterella,False
517,Prevotella,Sutterella,True
518,Prevotella,Bilophila,False
519,Prevotella,Desulfovibrio,False
520,Prevotella,Enterobacter,False
521,Prevotella,Escherichia,False
522,Prevotella,Klebsiella,False
523,Prevotella,Proteus,False
524,Prevotella,Haemophilus,False
525,Prevotella,Akkermansia,False
526,Prevotella,Podoviridae_noname,False
527,Prevotella,C2likevirus,False
528,Prevotella,Siphoviridae_noname,False
529,Prevotella,Mastadenovirus,False
530,Alistipes,Bifidobacterium,False
531,Alistipes,Collinsella,False
532,Alistipes,Bacteroides,False
533,Alistipes,Bacteroidales_noname,True
534,Alistipes,Barnesiella,True
535,Alistipes,Dysgonomonas,True
536,Alistipes,Odoribacter,True
537,Alistipes,Parabacteroides,False
538,Alistipes,Paraprevotella,False
539,Alistipes,Prevotella,False
540,Alistipes,Alistipes,False
541,Alistipes,Streptococcus,False
542,Alistipes,Clostridium,False
543,Alistipes,Clostridiales_noname,True
